"";"site_no";"flow";"flow_v";"water_temp";"ph"
"1";2336360;6,6;"Точное";27,4;7,1
"2";2336410;11;"Точное";27,2;7,2
"3";2336526;4,8;"Точное";27;7,7
"4";2336313;0,69;"Точное";26,9;7,2
"5";2336410;11;"Точное";26,9;7,2
"6";2336120;12;"Точное";26,8;7
"7";2203700;4,4;"Точное";26,7;7,3
"8";2336300;21;"Точное";26,6;7,5
"9";2336410;12;"Точное";26,6;7,2
"10";2336360;6,6;"Точное";26,6;7
"11";2336360;6,6;"Точное";26,5;7
"12";2336313;0,73;"Точное";26,5;7,3
"13";2336360;6,6;"Точное";26,5;7,1
"14";2336120;12;"Точное";26,4;7
"15";2336300;27;"Точное";26,4;7,5
"16";2203700;4,9;"Точное";26,4;7,3
"17";2336300;21;"Точное";26,4;7,5
"18";2336313;0,77;"Точное";26,4;7,2
"19";2336313;0,69;"Точное";26,3;7,3
"20";2336360;7,2;"Точное";26,3;7,1
"21";2337170;NA;"Точное";26,2;6,9
"22";2203700;3,9;"Точное";26,2;7
"23";2336240;11;"Точное";26,1;7,1
"24";2203700;4,9;"Точное";26,1;7,3
"25";2336300;27;"Точное";26;7,5
"26";2336526;3,8;"Точное";26;8,2
"27";2336300;NA;"Точное";26;7,6
"28";2336526;5,7;"Точное";26;8,3
"29";2336526;3,6;"Точное";26;8,4
"30";2336313;0,77;"Точное";26;7,3
"31";2336120;12;"Точное";26;7
"32";2336526;5,9;"Точное";26;8,3
"33";2337170;1260;"Точное";26;7
"34";2336120;13;"Точное";26;7
"35";2336526;5,9;"Точное";26;8,4
"36";2203700;3,9;"Точное";26;7
"37";2336300;31;"Точное";25,9;7,5
"38";2336360;6,3;"Точное";25,9;7
"39";2336360;6,6;"Точное";25,9;7
"40";2203700;3,7;"Точное";25,9;7
"41";2336300;27;"Точное";25,8;7,5
"42";2336360;9,1;"Точное";25,8;7,5
"43";2336300;21;"Точное";25,8;7,5
"44";2336410;11;"Точное";25,8;7,4
"45";2336410;11;"Точное";25,8;7,5
"46";2336300;20;"Точное";25,8;7,6
"47";2336240;12;"Точное";25,8;7,1
"48";2336313;0,69;"Точное";25,7;7,3
"49";2203700;3,9;"Точное";25,7;6,9
"50";2203700;3,9;"Точное";25,7;7,1
"51";2336240;10;"Точное";25,7;7,1
"52";2336360;9,1;"Точное";25,7;7,5
"53";2336313;0,69;"Точное";25,7;7,3
"54";2336300;21;"Точное";25,6;7,5
"55";2203700;4,6;"Точное";25,6;7,4
"56";2337170;1270;"Точное";25,6;6,8
"57";2336360;7,8;"Точное";25,6;7
"58";2336120;13;"Точное";25,6;7
"59";2203700;3,9;"Точное";25,6;6,9
"60";2336728;9,3;"Точное";25,6;7,3
"61";2336313;1;"Точное";25,6;7,3
"62";2336526;3;"Точное";25,5;9
"63";2336313;0,73;"Точное";25,5;7,3
"64";2336240;10;"Точное";25,5;7
"65";2336313;1;"Точное";25,5;7,3
"66";2336300;22;"Точное";25,5;7,5
"67";2336360;9,1;"Точное";25,5;7,4
"68";2336313;1;"Точное";25,4;7,2
"69";2336300;30;"Точное";25,4;7,3
"70";2336728;9,7;"Точное";25,4;7,2
"71";2336240;8,9;"Точное";25,4;7,4
"72";2336360;9,8;"Точное";25,4;NA
"73";2336120;11;"Точное";25,4;7,2
"74";2336240;13;"Точное";25,4;7
"75";2203700;3,9;"Точное";25,4;6,9
"76";2336526;2,8;"Точное";25,4;8,7
"77";2336240;11;"Точное";25,4;7
"78";2336728;14;"Точное";25,3;7
"79";2336313;0,65;"Точное";25,3;7,2
"80";2336360;9,8;"Точное";25,3;7,5
"81";2336360;10;"Точное";25,3;7
"82";2336120;9,9;"Точное";25,3;7,2
"83";2336360;6,3;"Точное";25,3;7
"84";2336526;4,6;"Точное";25,3;8
"85";2336300;21;"Точное";25,3;7,4
"86";2336240;11;"Точное";25,3;7,3
"87";2336120;16;"Точное";25,3;6,9
"88";2336313;0,98;"Точное";25,3;7,3
"89";2336728;8,9;"Точное";25,2;7,3
"90";2336240;8,9;"Точное";25,2;7,4
"91";2336728;9,3;"Точное";25,2;7,3
"92";2336120;10;"Точное";25,2;7,3
"93";2203700;4,6;"Точное";25,1;7,3
"94";2336120;9,9;"Точное";25,1;7,2
"95";2336360;7,2;"Точное";25,1;7
"96";2336526;5,9;"Точное";25,1;7,2
"97";2337170;1270;"Точное";25,1;6,8
"98";2336120;15;"Точное";25,1;7,4
"99";2336313;0,98;"Точное";25,1;7,2
"100";2336240;11;"Точное";25,1;7
"101";2336526;2,8;"Точное";25;8,6
"102";2336313;0,98;"Точное";25;7,2
"103";2336300;27;"Точное";25;7,6
"104";2203655;8,8;"Точное";25;7
"105";2336313;1;"Точное";25;7,3
"106";2203700;NA;"Точное";25;7
"107";2336526;2,7;"Точное";25;8,5
"108";2203700;3,7;"Точное";25;6,9
"109";2336120;11;"Точное";25;7,1
"110";2336313;0,98;"Точное";24,9;7,2
"111";2203655;9,2;"Точное";24,9;7
"112";2336526;3,6;"Точное";24,9;7,9
"113";2336300;21;"Точное";24,9;7,4
"114";2336120;15;"Точное";24,9;7,3
"115";2336313;0,98;"Точное";24,9;7,2
"116";2336728;9,3;"Точное";24,9;7,3
"117";2203700;3,7;"Точное";24,9;6,8
"118";2336410;13;"Точное";24,9;7
"119";2336313;0,82;"Точное";24,9;7,3
"120";2336313;0,93;"Точное";24,9;7,2
"121";2336313;0,69;"Точное";24,8;7,4
"122";2336410;10;"Точное";24,8;7,5
"123";2336240;8,5;"Точное";24,8;7,3
"124";2336526;5;"Точное";24,8;8,9
"125";2336240;8,5;"Точное";24,8;7,4
"126";2336360;9,1;"Точное";24,8;7,4
"127";2336360;9,8;"Точное";24,8;7,4
"128";2336526;3,5;"Точное";24,8;9,1
"129";2336526;5,7;"Точное";24,8;7,3
"130";2337170;1270;"Точное";24,8;6,8
"131";2336410;16;"Точное";24,8;7
"132";2336120;13;"Точное";24,8;7
"133";2336526;6,4;"Точное";24,8;8
"134";2336313;0,93;"Точное";24,8;7,2
"135";2336360;8,4;"Точное";24,7;NA
"136";2336728;14;"Точное";24,7;7
"137";2336300;27;"Точное";24,7;7,6
"138";2336526;4;"Точное";24,7;7,8
"139";2336526;3;"Точное";24,7;8,5
"140";2336313;0,69;"Точное";24,7;7,4
"141";2337170;1260;"Точное";24,7;6,9
"142";2336410;13;"Точное";24,7;7,4
"143";2336120;11;"Точное";24,6;7,1
"144";2336300;21;"Точное";24,6;7,5
"145";2336240;13;"Точное";24,6;7
"146";2336728;9,3;"Точное";24,6;7,3
"147";2336313;0,87;"Точное";24,6;7,2
"148";2336300;24;"Точное";24,6;7,5
"149";2336120;15;"Точное";24,6;6,9
"150";2203700;3,7;"Точное";24,6;7,1
"151";2336300;19;"Точное";24,6;7,4
"152";2203700;3,5;"Точное";24,6;6,9
"153";2337170;1260;"Точное";24,6;6,9
"154";2336410;11;"Точное";24,6;7,4
"155";2336300;18;"Точное";24,6;7,3
"156";2337170;1270;"Точное";24,5;6,8
"157";2203700;5,1;"Точное";24,5;7,2
"158";2336526;5,2;"Точное";24,4;8,6
"159";2336728;12;"Точное";24,4;7,3
"160";2203700;4,4;"Точное";24,4;6,9
"161";2336360;6,3;"Точное";24,4;6,9
"162";2336313;1;"Точное";24,4;7,3
"163";2203700;3,9;"Точное";24,4;7
"164";2337170;1270;"Точное";24,4;6,9
"165";2336360;7,8;"Точное";24,4;7
"166";2203655;8,8;"Точное";24,4;7,2
"167";2336300;27;"Точное";24,4;7,6
"168";2203655;9,2;"Точное";24,4;7,1
"169";2336526;NA;"Точное";24,4;NA
"170";2336313;0,98;"Точное";24,4;7,2
"171";2336410;11;"Точное";24,3;7,4
"172";2336360;6,3;"Точное";24,3;NA
"173";2336526;3,5;"Точное";24,3;8,7
"174";2336313;0,82;"Точное";24,3;7,4
"175";2336526;3,6;"Точное";24,3;7,6
"176";2336313;1;"Точное";24,3;7,3
"177";2336360;8,4;"Точное";24,3;7,3
"178";2336240;9,2;"Точное";24,3;7,4
"179";2336120;25;"Точное";24,3;6,8
"180";2336360;7,2;"Точное";24,3;6,9
"181";2336410;14;"Точное";24,3;7,3
"182";2336240;12;"Точное";24,2;7,3
"183";2203700;4,4;"Точное";24,2;7,2
"184";2336360;9,4;"Точное";24,2;6,9
"185";2337170;1270;"Точное";24,2;6,9
"186";2336120;15;"Точное";24,2;7,2
"187";2336526;3,6;"Точное";24,2;8,2
"188";2336120;16;"Точное";24,2;7,3
"189";2336120;15;"Точное";24,2;7,2
"190";2336526;3,6;"Точное";24,2;8,3
"191";2336728;12;"Точное";24,2;7,3
"192";2336360;11;"Точное";24,2;7,4
"193";2336410;13;"Точное";24,2;NA
"194";2203655;11;"Точное";24,1;6,6
"195";2336410;17;"Точное";24,1;7,2
"196";2336360;11;"Точное";24,1;7,1
"197";2336313;0,73;"Точное";24,1;7,5
"198";2336240;8,2;"Точное";24,1;7,3
"199";2336120;11;"Точное";24,1;7,1
"200";2203700;3,9;"Точное";24,1;6,9
"201";2336410;25;"Точное";24,1;7,1
"202";2336240;7,9;"Точное";24,1;7,2
"203";2336410;12;"Точное";24,1;7,4
"204";2336526;4,4;"Точное";24;8
"205";2203655;9,6;"Точное";24;7,2
"206";2336300;27;"Точное";24;7,6
"207";2336240;19;"Точное";24;7
"208";2336526;5,7;"Точное";24;7,2
"209";2336526;3,6;"Точное";24;7,7
"210";2336120;11;"Точное";24;7,2
"211";2336410;19;"Точное";24;7,3
"212";2336728;10;"Точное";24;7,3
"213";2203655;9,2;"Точное";24;7,2
"214";2336360;11;"Точное";23,9;7
"215";2336120;11;"Точное";23,9;7,2
"216";2336300;31;"Точное";23,9;7,3
"217";2336360;6;"Точное";23,9;6,9
"218";2336526;NA;"Точное";23,9;7,3
"219";2203700;3,5;"Точное";23,9;6,8
"220";2203655;9,6;"Точное";23,9;7,2
"221";2336526;3,5;"Точное";23,9;9
"222";2337170;1280;"Точное";23,9;6,9
"223";2336120;11;"Точное";23,9;7,1
"224";2336728;9,3;"Точное";23,9;7,2
"225";2336410;16;"Точное";23,9;7,4
"226";2336120;11;"Точное";23,9;7,2
"227";2336240;19;"Точное";23,8;7
"228";2336728;14;"Точное";23,8;7
"229";2203655;10;"Точное";23,8;6,7
"230";2336728;7,8;"Точное";23,8;7,2
"231";2336313;0,93;"Точное";23,8;7,2
"232";2336526;5,7;"Точное";23,8;8,3
"233";2336526;2,8;"Точное";23,8;8
"234";2336360;11;"Точное";23,8;7,4
"235";2336300;21;"Точное";23,8;NA
